epoch,train_acc,test_acc,avg_loss
1,0.5166666666666667,0.2692307692307692,0.6954443494478861
2,0.625,0.38461538461538464,0.6796742041905721
3,0.725,0.6089743589743589,0.6572156190872193
4,0.725,0.5512820512820513,0.6368834416071574
5,0.775,0.7051282051282052,0.6250670115152995
6,0.825,0.7371794871794872,0.5944638212521871
7,0.7416666666666667,0.6346153846153846,0.579948894182841
8,0.7333333333333333,0.5448717948717948,0.5587234059969585
9,0.725,0.7756410256410257,0.5572146296501159
10,0.8166666666666667,0.7628205128205128,0.536199818054835
11,0.8666666666666667,0.6987179487179487,0.4919661502043406
12,0.8166666666666667,0.7564102564102564,0.47148290077845256
13,0.8166666666666667,0.7628205128205128,0.4592290242513021
14,0.8833333333333333,0.6987179487179487,0.408352130651474
15,0.8833333333333333,0.7051282051282052,0.372443950176239
16,0.9166666666666666,0.717948717948718,0.3520654400189718
17,0.9333333333333333,0.6923076923076923,0.3148413221041361
18,0.9416666666666667,0.6858974358974359,0.3030413647492727
19,0.975,0.6730769230769231,0.25107568204402925
20,0.925,0.7051282051282052,0.22028449873129527
21,0.5666666666666667,0.7051282051282052,0.26147376497586566
22,0.95,0.6858974358974359,0.3723666528860728
23,0.9833333333333333,0.6602564102564102,0.20573793252309164
24,0.9916666666666667,0.6858974358974359,0.14820410509904225
25,0.9083333333333333,0.7307692307692307,0.13223512669404347
26,0.975,0.7115384615384616,0.14912008742491403
27,1.0,0.6474358974358975,0.12311530510584513
28,1.0,0.6794871794871795,0.12868425821264584
29,0.9666666666666667,0.7371794871794872,0.10306742688020071
30,1.0,0.6794871794871795,0.06220581606030464
31,1.0,0.6987179487179487,0.049102869878212614
32,1.0,0.6602564102564102,0.04247355721890926
33,1.0,0.6538461538461539,0.03913188142081102
34,1.0,0.6666666666666666,0.03720677314947049
35,1.0,0.6538461538461539,0.03182233373324076
36,1.0,0.6538461538461539,0.02857595421373844
37,1.0,0.6538461538461539,0.027573664548496406
38,1.0,0.6474358974358975,0.025389933958649635
39,1.0,0.7051282051282052,0.023935764158765475
40,1.0,0.7115384615384616,0.019710819547375042
41,1.0,0.6987179487179487,0.02304088156670332
42,1.0,0.6602564102564102,0.016908543556928633
43,1.0,0.6730769230769231,0.015089191248019536
44,1.0,0.6538461538461539,0.014037964306771756
45,1.0,0.6794871794871795,0.013501548829178015
46,1.0,0.6794871794871795,0.013184813720484575
47,1.0,0.6538461538461539,0.011577781662344933
48,1.0,0.6538461538461539,0.01189742898568511
49,1.0,0.6474358974358975,0.011444725344578426
50,1.0,0.6730769230769231,0.010585350636392831
51,1.0,0.6538461538461539,0.00929303163041671
52,1.0,0.6538461538461539,0.009034699915597836
53,1.0,0.6730769230769231,0.008675857384999593
54,1.0,0.6602564102564102,0.008370177168399096
55,1.0,0.6538461538461539,0.008113700586060682
56,1.0,0.6794871794871795,0.007664626029630502
57,1.0,0.6538461538461539,0.007426258611182372
58,1.0,0.6602564102564102,0.007096226575473944
59,1.0,0.6794871794871795,0.006897499909003576
60,1.0,0.6602564102564102,0.0065862594172358515
61,1.0,0.6730769230769231,0.006426051662613948
62,1.0,0.6538461538461539,0.0063362697760264075
63,1.0,0.6730769230769231,0.005862732107440631
64,1.0,0.6602564102564102,0.0057591781951487064
65,1.0,0.6730769230769231,0.005403296090662479
66,1.0,0.6666666666666666,0.005290710336218278
67,1.0,0.6602564102564102,0.005090274739389619
68,1.0,0.6666666666666666,0.00499517989034454
69,1.0,0.6538461538461539,0.004809095757082105
70,1.0,0.6602564102564102,0.004645202277849118
71,1.0,0.6538461538461539,0.0045404416974633936
72,1.0,0.6602564102564102,0.004387750367944439
73,1.0,0.6538461538461539,0.0042721723982443414
74,1.0,0.6538461538461539,0.004195222413788239
75,1.0,0.6730769230769231,0.004092565287525455
76,1.0,0.6538461538461539,0.003967485095684727
77,1.0,0.6794871794871795,0.003895015548914671
78,1.0,0.6538461538461539,0.003832739902039369
79,1.0,0.6538461538461539,0.003689088781053821
80,1.0,0.6538461538461539,0.0036178215872496367
81,1.0,0.6666666666666666,0.0035538079837958017
82,1.0,0.6538461538461539,0.003527451741198699
83,1.0,0.6538461538461539,0.0034395703269789616
84,1.0,0.6666666666666666,0.0033619159211715063
85,1.0,0.6538461538461539,0.003237552552794417
86,1.0,0.6794871794871795,0.0031432741166402896
87,1.0,0.6538461538461539,0.0031077412888407705
88,1.0,0.6602564102564102,0.0030285411669562262
89,1.0,0.6538461538461539,0.002987176397194465
90,1.0,0.6538461538461539,0.002926292053113381
91,1.0,0.6730769230769231,0.0028696482380231223
92,1.0,0.6538461538461539,0.0028374701583137115
93,1.0,0.6730769230769231,0.002779029441686968
94,1.0,0.6538461538461539,0.0026883838310216863
95,1.0,0.6730769230769231,0.0026159780255208412
96,1.0,0.6538461538461539,0.002627281161646048
97,1.0,0.6730769230769231,0.002579274338980516
98,1.0,0.6538461538461539,0.002504959050565958
99,1.0,0.6730769230769231,0.0024453355930745603
100,1.0,0.6538461538461539,0.0024422194575890897
